   7.040,  34.100,  12.940,  43.620,  14.420,  22.320,  19.300,  52.560,  38.150,  97.310,  21.550,   6.200,  28.930,  28.860,  13.790,   9.290,  98.250,  51.530,  10.680, 
   7.200,  33.810,  13.580,  43.100,  14.940,  22.560,  19.200,  53.400,  37.390,  98.020,  21.960,   6.490,  28.890,  29.020,  14.200,   9.870,  94.350,  52.400,  10.350, 
   7.120,  31.750,  13.510,  42.420,  15.050,  23.120,  18.710,  55.420,  37.450,  98.500,  22.240,   6.540,  28.360,  27.280,  13.900,   9.600,  95.900,  51.110,  10.490, 
   6.910,  32.000,  13.630,  42.700,  14.590,  22.650,  19.100,  54.390,  36.800,  97.140,  21.450,   6.300,  28.790,  27.755,  13.700,   9.070,  95.150,  52.140,  10.160, 
   7.260,  32.340,  14.190,  44.310,  15.150,  23.220,  19.300,  56.880,  36.820,  97.250,  23.060,   6.450,  29.450,  28.160,  14.290,   9.090,  98.050,  53.630,  10.930, 
   7.850,  33.910,  15.180,  45.750,  16.460,  24.970,  19.850,  59.440,  37.910,  99.400,  24.510,   6.680,  30.050,  28.190,  14.970,   9.780,  99.450,  53.490,  12.500, 
   8.070,  33.200,  14.810,  45.060,  16.950,  24.130,  19.610,  58.910,  38.950, 100.840,  25.020,   6.990,  29.490,  29.030,  14.940,  10.040,  99.950,  52.900,  12.080, 
   8.880,  33.500,  14.040,  44.800,  16.210,  23.580,  19.150,  61.570,  39.000, 102.000,  24.380,   6.830,  29.510,  29.225,  14.440,   9.680,  96.000,  53.480,  12.070, 
   9.560,  33.500,  14.960,  46.090,  16.970,  24.270,  19.160,  61.600,  38.860, 101.850,  24.960,   6.950,  29.700,  28.015,  14.940,   9.610,  96.000,  53.140,  12.500, 
   8.920,  30.810,  12.300,  46.560,  15.600,  23.220,  18.500,  57.090,  38.470, 102.900,  24.570,   6.870,  29.400,  28.375,  13.660,   8.800,  93.150,  52.290,  11.360, 
   8.470,  29.900,  13.050,  46.500,  16.720,  23.220,  17.900,  59.060,  37.150, 101.250,  24.050,   6.880,  29.240,  28.950,  14.260,   8.880,  89.500,  51.900,  11.270, 
   8.010,  31.170,  12.370,  45.850,  16.720,  24.050,  18.490,  51.950,  37.250, 102.650,  24.150,   7.100,  28.580,  30.080,  14.540,   8.830,  88.750,  53.010,  11.370, 
   8.770,  31.650,  12.750,  47.010,  16.830,  24.550,  18.550,  53.080,  37.250, 105.250,  25.300,   6.900,  28.400,  30.215,  14.950,   8.830,  91.500,  53.040,  11.780, 
   9.550,  32.890,  12.680,  47.240,  16.410,  24.640,  18.520,  55.580,  37.610, 105.810,  25.000,   6.650,  27.660,  30.660,  15.010,   9.140,  88.500,  52.610,  11.580, 
   7.640,  32.100,  13.710,  46.940,  17.230,  24.900,  18.440,  57.180,  37.270, 108.570,  25.480,   6.590,  27.990,  31.280,  14.660,   9.190,  81.700,  52.480,  11.950, 
   7.770,  32.480,  14.100,  48.100,  17.740,  25.860,  19.020,  59.130,  37.080, 110.660,  26.100,   6.960,  28.350,  31.100,  13.950,   9.990,  80.000,  53.300,  12.250, 
   7.560,  33.500,  14.450,  48.580,  17.290,  25.500,  18.710,  57.000,  37.870, 111.160,  25.860,   6.950,  28.950,  29.820,  13.580,  10.400,  80.050,  53.420,  12.060, 
   7.050,  32.150,  13.530,  46.350,  16.420,  24.090,  18.250,  52.520,  38.880, 108.620,  24.180,   6.650,  27.280,  29.440,  13.400,   9.860,  78.850,  51.900,  11.300, 
